ID,Name,"Name (Smith & Trzaskoma)","Name (transliteration)","Name (Latinized)","Name in Latin texts","Alternative names","Identifying information","Type of entity","Type of entity ID","Agent/Coll.: gender","Agent/Coll.: gender ID","Collective (geneal.): children of","Collective (geneal.): children of ID","Collective (geneal.): divine father","Collective (geneal.): divine father ID"
8188008,"Chromios (son of Priam)",Chromios,,,,,"son of Priam",Agent,8160370,Male,9494774,,,,
8188009,"Chromios (son of Pterelaos)",Chromios,,,,,"son of Pterelaos",Agent,8160370,Male,9494774,,,,
8188011,"Chrysaor (son of Poseidon and Medousa)",Chrysaor,,,,,"son of Poseidon and Medousa",Agent,8160370,Male,9494774,,,,
8188012,"Chryseis (daughter of Chryses)",Chryseis,,,,,"daughter of Chryses",Agent,8160370,Female,9494773,,,,
8188013,"Chryses (priest of Apollo)",Chryses,,,,,"priest of Apollo",Agent,8160370,Male,9494774,,,,
8188014,"Chryses (son of Minos)",Chryses,,,,,"son of Minos",Agent,8160370,Male,9494774,,,,
8188015,"Chrysippe (Danaid)",Chrysippe,,,,,Danaid,Agent,8160370,Female,9494773,,,,
8188016,"Chrysippos (illegitimate son of Pelops)",Chrysippos,,,,,"illegitimate son of Pelops",Agent,8160370,Male,9494774,,,,
8188017,"Chrysippos (son of Aigyptos)",Chrysippos,,,,,"son of Aigyptos",Agent,8160370,Male,9494774,,,,
8188018,"Chrysopeleia (nymph)",Chrysopeleia,,,,,nymph,Agent,8160370,Female,9494773,,,,
8188019,"Chrysothemis (daughter of Agamemnon)",Chrysothemis,,,,,"daughter of Agamemnon",Agent,8160370,Female,9494773,,,,
8188020,"Chthonia (daughter of Erechtheus)",Chthonia,,,,,"daughter of Erechtheus",Agent,8160370,Female,9494773,,,,
8188021,"Chthonios (one of the surviving Spartaoi)",Chthonios,,,,,"one of the surviving Spartaoi",Agent,8160370,Male,9494774,,,,
8188022,"Chthonios (son of Aigyptos)",Chthonios,,,,,"son of Aigyptos",Agent,8160370,Male,9494774,,,,
8188023,"Cilix (eponym of Cilicia)",Cilix,,,,,"eponym of Cilicia",Agent,8160370,Male,9494774,,,,
8188024,"Cilla (daughter of Laomedon)",Cilla,,,,,"daughter of Laomedon",Agent,8160370,Female,9494773,,,,
8188025,"Cinyras (father of Adonis)",Cinyras,,,,,"father of Adonis",Agent,8160370,Male,9494774,,,,
8188026,"Circe (sorceress)",Circe,,,,,sorceress,Agent,8160370,Female,9494773,,,,
8188027,"Cisseus (father of Hecabe)",Cisseus,,,,,"father of Hecabe",Agent,8160370,Male,9494774,,,,
8188028,"Cisseus (son of Aigyptos)",Cisseus,,,,,"son of Aigyptos",Agent,8160370,Male,9494774,,,,
8188029,"the Cithaironian Lion (lion killed by Heracles)","the Cithaironian Lion",,,,,"lion killed by Heracles",Agent,8160370,Male,9494774,,,,
8188030,"Claametidos (son of Heracles)",Claametidos,,,,,"son of Heracles",Agent,8160370,Male,9494774,,,,
8188031,"Cleio (Muse)",Cleio,,,,,Muse,Agent,8160370,Female,9494773,,,,
8188032,"Cleisithyra (daughter of Idomeneus)",Cleisithyra,,,,,"daughter of Idomeneus",Agent,8160370,Female,9494773,,,,
8188033,"Cleite (Danaid)",Cleite,,,,,Danaid,Agent,8160370,Female,9494773,,,,
8188034,"Cleitos Clytus (son of Aigyptos)",Cleitos,,,Clytus,,"son of Aigyptos",Agent,8160370,Male,9494774,,,,
8188035,"Cleoboia (mother of Eurythemis)",Cleoboia,,,,,"mother of Eurythemis",Agent,8160370,Female,9494773,,,,
8188036,"Cleochareia (nymph)",Cleochareia,,,,,nymph,Agent,8160370,Female,9494773,,,,
8188037,"Cleochos (father of Areia)",Cleochos,,,,,"father of Areia",Agent,8160370,Male,9494774,,,,
8188038,"Cleodora (Danaid)",Cleodora,,,,,Danaid,Agent,8160370,Female,9494773,,,,
8188039,"Cleodoxa (daughter of Niobe)",Cleodoxa,,,,,"daughter of Niobe",Agent,8160370,Female,9494773,,,,
8188040,"Cleolaos (son of Heracles)",Cleolaos,,,,,"son of Heracles",Agent,8160370,Male,9494774,,,,
8188041,"Cleopatra (wife of Phineus)",Cleopatra,,,,,"wife of Phineus",Agent,8160370,Female,9494773,,,,
8188042,"Cleopatra (wife of Meleagros)",Cleopatra,,,,,"wife of Meleagros",Agent,8160370,Female,9494773,,,,
8188043,"Cleopatra (daughter of Tros)",Cleopatra,,,,,"daughter of Tros",Agent,8160370,Female,9494773,,,,
8188044,"Cleopatra (Danaid, daughter of Hamadryad nymph)",Cleopatra,,,,,"Danaid, daughter of Hamadryad nymph",Agent,8160370,Female,9494773,,,,
8188045,"Cleopatra (Locrian virgin sent to Troy)",Cleopatra,,,,,"Locrian virgin sent to Troy",Agent,8160370,Female,9494773,,,,
8188046,"Cleophyle (wife of Lycourgos)",Cleophyle,,,,,"wife of Lycourgos",Agent,8160370,Female,9494773,,,,
8188047,"Clonia (nymph)",Clonia,,,,,nymph,Agent,8160370,Female,9494773,,,,
8188048,"Clonios (son of Priam)",Clonios,,,,,"son of Priam",Agent,8160370,Male,9494774,,,,
8188049,"Clotho (one of the Moirai)",Clotho,,,,,"one of the Moirai",Agent,8160370,Female,9494773,,,,
8188050,"Clymene (daughter of Minyas)",Clymene,,,,,"daughter of Minyas",Agent,8160370,Female,9494773,,,,
8188051,"Clymene (daughter of Catreus)",Clymene,,,,,"daughter of Catreus",Agent,8160370,Female,9494773,,,,
8188052,"Clymenos (Minyan, father of Erginos)",Clymenos,,,,,"Minyan, father of Erginos",Agent,8160370,Male,9494774,,,,
8188053,"Clymenos (son of Oineus)",Clymenos,,,,,"son of Oineus",Agent,8160370,Male,9494774,,,,
8188054,"Clymenos (suitor of Penelope)",Clymenos,,,,,"suitor of Penelope",Agent,8160370,Male,9494774,,,,
8188055,"Clytaimnestra Clytaemnestra (wife of Agamemnon)",Clytaimnestra,,,Clytaemnestra,,"wife of Agamemnon",Agent,8160370,Female,9494773,,,,
8188056,"Clytios (giant)",Clytios,,,,,giant,Agent,8160370,Male,9494774,,,,
8188057,"Clytios (son of Laomedon)",Clytios,,,,,"son of Laomedon",Agent,8160370,Male,9494774,,,,
8188058,"Clytios (suitor of Penelope)",Clytios,,,,,"suitor of Penelope",Agent,8160370,Male,9494774,,,,
8188059,"Clytippe (daughter of Thespios)",Clytippe,,,,,"daughter of Thespios",Agent,8160370,Female,9494773,,,,
8188060,"Cnossia (nymph)",Cnossia,,,,,nymph,Agent,8160370,Female,9494773,,,,
8188061,"Cocalos (king of Camicos)",Cocalos,,,,,"king of Camicos",Agent,8160370,Male,9494774,,,,
8188062,"Coios Polus (Titan)",Coios,,,Polus,,Titan,Agent,8160370,Male,9494774,,,,
8188063,"Coiranos Coeranus (father of Polyidos)",Coiranos,,,Coeranus,,"father of Polyidos",Agent,8160370,Male,9494774,,,,
8188064,"Comaitho (daughter of Pterelaos)",Comaitho,,,,,"daughter of Pterelaos",Agent,8160370,Female,9494773,,,,
8188065,"Cometes (father of Asterios)",Cometes,,,,,"father of Asterios",Agent,8160370,Male,9494774,,,,
8188066,"Cometes (son of Sthenelos)",Cometes,,,,,"son of Sthenelos",Agent,8160370,Male,9494774,,,,
8188067,"Copreus (Eurystheus' herald)",Copreus,,,,,"Eurystheus' herald",Agent,8160370,Male,9494774,,,,
8188068,"Corethon (son of Lycaon)",Corethon,,,,,"son of Lycaon",Agent,8160370,Male,9494774,,,,
8188069,"Corinthos (father of Sylea)",Corinthos,,,,,"father of Sylea",Agent,8160370,Male,9494774,,,,
8188070,"Coronis (daughter of Phlegyas, mother of Asclepios)",Coronis,,,,,"daughter of Phlegyas, mother of Asclepios",Agent,8160370,Female,9494773,,,,
8188071,"Coronos (father of Caineus)",Coronos,,,,,"father of Caineus",Agent,8160370,Male,9494774,,,,
8188072,"Coronos (father of Leonteus)",Coronos,,,,,"father of Leonteus",Agent,8160370,Male,9494774,,,,
8188073,"the Corybantes (sons of Thaleia and Apollo)","the Corybantes",,,,,"sons of Thaleia and Apollo","Collective (misc.)",8160371,,,,,,
8188074,"Corythos (his herders raise Telephos)",Corythos,,,,,"his herders raise Telephos",Agent,8160370,Male,9494774,,,,
8188075,"Cottos (Hundred-hander)",Cottos,,,,,Hundred-hander,Agent,8160370,Male,9494774,,,,
8188076,"the Couretes (a people of the Peloponnesos)","the Couretes",,,,,"a people of the Peloponnesos","Collective (misc.)",8160371,,,,,,
8188077,"the Couretes Curetes (guard the infant Zeus)","the Couretes",,,Curetes,,"guard the infant Zeus","Collective (misc.)",8160371,,,,,,
8188078,"Cranae (daughter of Cranaos)",Cranae,,,,,"daughter of Cranaos",Agent,8160370,Female,9494773,,,,
8188079,"Cranaichme (daughter of Cranaos)",Cranaichme,,,,,"daughter of Cranaos",Agent,8160370,Female,9494773,,,,
8188080,"Cranaos (early king of Attica)",Cranaos,,,,,"early king of Attica",Agent,8160370,Male,9494774,,,,
8188081,"Cranto (Nereid)",Cranto,,,,,Nereid,Agent,8160370,Female,9494773,,,,
8188082,"Crataiis (mother of Scylla)",Crataiis,,,,,"mother of Scylla",Agent,8160370,Female,9494773,,,,
8188083,"Cratieus (father of Anaxibia)",Cratieus,,,,,"father of Anaxibia",Agent,8160370,Male,9494774,,,,
8188084,"Cratos (personification of power)",Cratos,,,,,"personification of power",Agent,8160370,Male,9494774,,,,
8188085,"Creios (Titan)",Creios,,,,,Titan,Agent,8160370,Male,9494774,,,,
8188086,"Creon (king of Thebes)",Creon,,,,,"king of Thebes",Agent,8160370,Male,9494774,,,,
8188087,"Creon (king of Corinth)",Creon,,,,,"king of Corinth",Agent,8160370,Male,9494774,,,,
8188088,"Creon (son of Heracles)",Creon,,,,,"son of Heracles",Agent,8160370,Male,9494774,,,,
8188089,"Creontiades (son of Heracles and Megara)",Creontiades,,,,,"son of Heracles and Megara",Agent,8160370,Male,9494774,,,,
8188090,"Creousa (daughter of Erechtheus)",Creousa,,,,,"daughter of Erechtheus",Agent,8160370,Female,9494773,,,,
8188091,"Creousa (daughter of Priam)",Creousa,,,,,"daughter of Priam",Agent,8160370,Female,9494773,,,,
8188092,"Cresphontes (one of the Heracleidai)",Cresphontes,,,,,"one of the Heracleidai",Agent,8160370,Male,9494774,,,,
8188093,"the Cretan Bull (Heracles' seventh Labor)","the Cretan Bull",,,,,"Heracles' seventh Labor",Agent,8160370,Male,9494774,,,,
8188095,"Crete (daughter of Asterios)",Crete,,,,,"daughter of Asterios",Agent,8160370,Female,9494773,,,,
8188096,"Crete (daughter of Deucalion)",Crete,,,,,"daughter of Deucalion",Agent,8160370,Female,9494773,,,,
8188097,"Cretheus (son of Aiolos)",Cretheus,,,,,"son of Aiolos",Agent,8160370,Male,9494774,,,,
8188098,"Criasos (son of Argos)",Criasos,,,,,"son of Argos",Agent,8160370,Male,9494774,,,,
8188099,"Crino (mother of some Danaids)",Crino,,,,,"mother of some Danaids",Agent,8160370,Female,9494773,,,,
8188100,"Crocon (father of Meganeira)",Crocon,,,,,"father of Meganeira",Agent,8160370,Male,9494774,,,,
8188102,"Cronos Saturn (Titan, father of Zeus)",Cronos,,,Saturn,,"Titan, father of Zeus",Agent,8160370,Male,9494774,,,,
8188103,"Cteatos Cteatus (conjoined twin of Eurytos)",Cteatos,,Cteatus,,,"conjoined twin of Eurytos",Agent,8160370,Male,9494774,,,,
8188104,"Ctesios (suitor of Penelope)",Ctesios,,,,,"suitor of Penelope",Agent,8160370,Male,9494774,,,,
8188105,"Ctesippos (suitor of Penelope from Same)",Ctesippos,,,,,"suitor of Penelope from Same",Agent,8160370,Male,9494774,,,,
8188106,"Ctesippos (suitor of Penelope from Ithaca)",Ctesippos,,,,,"suitor of Penelope from Ithaca",Agent,8160370,Male,9494774,,,,
8188107,"Ctesippos (son of Heracles and Deianeira)",Ctesippos,,,,,"son of Heracles and Deianeira",Agent,8160370,Male,9494774,,,,
8188108,"Ctesippos (son of Heracles and Astydameia)",Ctesippos,,,,,"son of Heracles and Astydameia",Agent,8160370,Male,9494774,,,,
8188109,"Cyanippos (son of Adrastos)",Cyanippos,,,,,"son of Adrastos",Agent,8160370,Male,9494774,,,,
8188110,"Cychreus (son of Poseidon)",Cychreus,,,,,"son of Poseidon",Agent,8160370,Male,9494774,,,,
8188111,"the Cyclopes (sons of Ouranos and Ge, makers of Zeus' thunderbolts)","the Cyclopes",,,,,"sons of Ouranos and Ge, makers of Zeus' thunderbolts","Collective (misc.)",8160371,,,,,,
8188112,"the Cyclopes (creatures encountered by Odysseus)","the Cyclopes",,,,,"creatures encountered by Odysseus","Collective (misc.)",8160371,,,,,,
8188113,"the Cyclopes (fortifiers of Tiryns)","the Cyclopes",,,,,"fortifiers of Tiryns","Collective (misc.)",8160371,,,,,,
8188114,"Cycnos Cygnus (son of Ares and Pyrene, killed by Heracles)",Cycnos,,,Cygnus,,"son of Ares and Pyrene, killed by Heracles",Agent,8160370,Male,9494774,,,,
8188115,"Cycnos Cygnus (son of Ares and Pelopia, killed by Heracles)",Cycnos,,,Cygnus,,"son of Ares and Pelopia, killed by Heracles",Agent,8160370,Male,9494774,,,,
8188116,"Cycnos (father of Tenes)",Cycnos,,,,,"father of Tenes",Agent,8160370,Male,9494774,,,,
8188117,"Cycnos (suitor of Penelope)",Cycnos,,,,,"suitor of Penelope",Agent,8160370,Male,9494774,,,,
8188118,"Cyllene (nymph)",Cyllene,,,,,nymph,Agent,8160370,Female,9494773,,,,
8188119,"Cymo (Nereid)",Cymo,,,,,Nereid,Agent,8160370,Female,9494773,,,,
8188120,"Cymothoe (Nereid)",Cymothoe,,,,,Nereid,Agent,8160370,Female,9494773,,,,
8188121,"Cynaithos (son of Lycaon)",Cynaithos,,,,,"son of Lycaon",Agent,8160370,Male,9494774,,,,
8188122,"Cynnos (suitor of Penelope)",Cynnos,,,,,"suitor of Penelope",Agent,8160370,Male,9494774,,,,
8188123,"Cynortas (son of Amyclas)",Cynortas,,,,,"son of Amyclas",Agent,8160370,Male,9494774,,,,
8188124,"Cyrene (mother of Diomedes)",Cyrene,,,,,"mother of Diomedes",Agent,8160370,Female,9494773,,,,
8188125,"Cytisoros (son of Phrixos)",Cytisoros,,,,,"son of Phrixos",Agent,8160370,Male,9494774,,,,
8188126,"Cyzicos (king of the Doliones)",Cyzicos,,,,,"king of the Doliones",Agent,8160370,Male,9494774,,,,
8188127,"Daemon (suitor of Penelope)",Daemon,,,,,"suitor of Penelope",Agent,8160370,Male,9494774,,,,
8188128,"Daidalos Daedalus (Athenian inventor & architect, builder of the Labyrinth)",Daidalos,,,Daedalus,,"Athenian inventor & architect, builder of the Labyrinth",Agent,8160370,Male,9494774,,,,
8188129,"Daiphron (son of Aigyptos)",Daiphron,,,,,"son of Aigyptos",Agent,8160370,Male,9494774,,,,
8188130,"Daiphron (son of Aigyptos and Hephaistine)",Daiphron,,,,,"son of Aigyptos and Hephaistine",Agent,8160370,Male,9494774,,,,
8188131,"Daisenor (suitor of Penelope)",Daisenor,,,,,"suitor of Penelope",Agent,8160370,Male,9494774,,,,
8188132,"Damasichthon (son of Niobe)",Damasichthon,,,,,"son of Niobe",Agent,8160370,Male,9494774,,,,
8188133,"Damasippos (son of Icarios)",Damasippos,,,,,"son of Icarios",Agent,8160370,Male,9494774,,,,
8188134,"Damasistratos (king of Plataia)",Damasistratos,,,,,"king of Plataia",Agent,8160370,Male,9494774,,,,
8188135,"Damastes (killed by Theseus)",Damastes,,,,,"killed by Theseus",Agent,8160370,Male,9494774,,,,
8188136,"Damastor (suitor of Penelope)",Damastor,,,,,"suitor of Penelope",Agent,8160370,Male,9494774,,,,
8188137,"Danae (mother of Perseus)",Danae,,,,,"mother of Perseus",Agent,8160370,Female,9494773,,,,
8188138,"Dardanos (son of Zeus and Electra)",Dardanos,,,,,"son of Zeus and Electra",Agent,8160370,Male,9494774,,,,
8188139,"Dascylos (father of Lycos)",Dascylos,,,,,"father of Lycos",Agent,8160370,Male,9494774,,,,
8188140,"Deianeira (daughter of Dionysos/Oineus)",Deianeira,,,,,"daughter of Dionysos/Oineus",Agent,8160370,Female,9494773,,,,
8188141,"Deicoon Deiocoon (son of Heracles and Megara)",Deicoon,,,,Deiocoon,"son of Heracles and Megara",Agent,8160370,Male,9494774,,,,
8188142,"Deidameia (daughter of Lycomedes)",Deidameia,,,,,"daughter of Lycomedes",Agent,8160370,Female,9494773,,,,
8188143,"Deimachos (father of Enarete)",Deimachos,,,,,"father of Enarete",Agent,8160370,Male,9494774,,,,
8188144,"Deimachos (son of Neleus)",Deimachos,,,,,"son of Neleus",Agent,8160370,Male,9494774,,,,
8188145,"Deino (one of the Phorcides)",Deino,,,,,"one of the Phorcides",Agent,8160370,Female,9494773,,,,
8188146,"Deion Deioneus (son of Aiolos)",Deion,,,Deioneus,,"son of Aiolos",Agent,8160370,Male,9494774,,,,
8188147,"Deiopites (son of Priam)",Deiopites,,,,,"son of Priam",Agent,8160370,Male,9494774,,,,
8188148,"Deiphobos (son of Priam and Hecabe)",Deiphobos,,,,,"son of Priam and Hecabe",Agent,8160370,Male,9494774,,,,
8188149,"Deiphobos (son of Hippolytos)",Deiphobos,,,,,"son of Hippolytos",Agent,8160370,Male,9494774,,,,
8188150,"Deiphontes (husband of Hyrnetho)",Deiphontes,,,,,"husband of Hyrnetho",Agent,8160370,Male,9494774,,,,
8188151,"Deipyle (daughter of Adrastos, wife of Tydeus)",Deipyle,,,,,"daughter of Adrastos, wife of Tydeus",Agent,8160370,Female,9494773,,,,
8188152,"Deliades (brother of Bellerophontes)",Deliades,,,,,"brother of Bellerophontes",Agent,8160370,Male,9494774,,,,
8188153,"Delphus (son of Apollo)",Delphus,,,,,"son of Apollo",Agent,8160370,Male,9494774,,,,
8188154,"Delphyne (dragoness)",Delphyne,,,,,dragoness,Agent,8160370,Female,9494773,,,,
8188155,"Demeter Ceres (Olympian god)",Demeter,,,Ceres,,"Olympian god",Agent,8160370,Male,9494774,,,,
8188156,"Democoon (son of Priam)",Democoon,,,,,"son of Priam",Agent,8160370,Male,9494774,,,,
8188157,"Demonice (daughter of Agenor)",Demonice,,,,,"daughter of Agenor",Agent,8160370,Female,9494773,,,,
8188158,"Demophon (son of Theseus and Phaidra)",Demophon,,,,,"son of Theseus and Phaidra",Agent,8160370,Male,9494774,,,,
8188159,"Demophon (son of Celeos and Metaneira)",Demophon,,,,,"son of Celeos and Metaneira",Agent,8160370,Male,9494774,,,,
8188160,"Demoptolemos (suitor of Penelope)",Demoptolemos,,,,,"suitor of Penelope",Agent,8160370,Male,9494774,,,,
8188161,"Dercynos (son of Poseidon)",Dercynos,,,,,"son of Poseidon",Agent,8160370,Male,9494774,,,,
8188162,"Dero (Nereid)",Dero,,,,,Nereid,Agent,8160370,Female,9494773,,,,
8188163,"Deucalion (survives flood, repopulates earth)",Deucalion,,,,,"survives flood, repopulates earth",Agent,8160370,Male,9494774,,,,
8188164,"Deucalion (Argonaut, Calydonian boar hunter)",Deucalion,,,,,"Argonaut, Calydonian boar hunter",Agent,8160370,Male,9494774,,,,
8188165,"Dexamenos (king of Olenos)",Dexamenos,,,,,"king of Olenos",Agent,8160370,Male,9494774,,,,
8188166,"Dexithea (mother of Euxanthios)",Dexithea,,,,,"mother of Euxanthios",Agent,8160370,Female,9494773,,,,
8188167,"Dictys (foster-father of Perseus)",Dictys,,,,,"foster-father of Perseus",Agent,8160370,Male,9494774,,,,
8188168,"Dike (one of the Horai)",Dike,,,,,"one of the Horai",Agent,8160370,Female,9494773,,,,
8188169,"Diocorystes (son of Aigyptos)",Diocorystes,,,,,"son of Aigyptos",Agent,8160370,Male,9494774,,,,
8188170,"Diogeneia (daughter of Cephisos)",Diogeneia,,,,,"daughter of Cephisos",Agent,8160370,Female,9494773,,,,
8188171,"Diomede (daughter of Lapithos)",Diomede,,,,,"daughter of Lapithos",Agent,8160370,Female,9494773,,,,
8188172,"Diomede (daughter of Xouthos)",Diomede,,,,,"daughter of Xouthos",Agent,8160370,Female,9494773,,,,
8188173,"Diomedes (Greek leader at Troy)",Diomedes,,,,,"Greek leader at Troy",Agent,8160370,Male,9494774,,,,
8188174,"Dione (Titan)",Dione,,,,,Titan,Agent,8160370,Female,9494773,,,,
8188175,"Dionysos Liber Bacchos (Olympian god)",Dionysos,,,Liber,Bacchos,"Olympian god",Agent,8160370,Male,9494774,,,,
8188176,"Diopithes (suitor of Penelope)",Diopithes,,,,,"suitor of Penelope",Agent,8160370,Male,9494774,,,,
8188177,"Dioxippe (Danaid)",Dioxippe,,,,,Danaid,Agent,8160370,Female,9494773,,,,
8188178,"Dirce (wife of Lycos)",Dirce,,,,,"wife of Lycos",Agent,8160370,Female,9494773,,,,
8188179,"Dolon (son of Eumelos, killed by Diomedes)",Dolon,,,,,"son of Eumelos, killed by Diomedes",Agent,8160370,Male,9494774,,,,
8188180,"Dorion (Danaid)",Dorion,,,,,Danaid,Agent,8160370,Female,9494773,,,,
8188181,"Doris (Oceanid, mother of the Nereids)",Doris,,,,,"Oceanid, mother of the Nereids",Agent,8160370,Female,9494773,,,,
8188182,"Doros (eponym of the Dorians)",Doros,,,,,"eponym of the Dorians",Agent,8160370,Male,9494774,,,,
8188183,"Doros (son of Apollo and Phthia)",Doros,,,,,"son of Apollo and Phthia",Agent,8160370,Male,9494774,,,,
8188184,"Dorycleus (son of Hippocoon)",Dorycleus,,,,,"son of Hippocoon",Agent,8160370,Male,9494774,,,,
8188185,"Doryclos (son of Priam)",Doryclos,,,,,"son of Priam",Agent,8160370,Male,9494774,,,,
8188186,"Doto (Nereid)",Doto,,,,,Nereid,Agent,8160370,Female,9494773,,,,
8188187,"Doulichieus (suitor of penelope)",Doulichieus,,,,,"suitor of penelope",Agent,8160370,Male,9494774,,,,
8188188,"Dryas (father of Lycurgos)",Dryas,,,,,"father of Lycurgos",Agent,8160370,Male,9494774,,,,
8188189,"Dryas (son of Lycurgos)",Dryas,,,,,"son of Lycurgos",Agent,8160370,Male,9494774,,,,
8188190,"Dryas (Calydonian boar hunter)",Dryas,,,,,"Calydonian boar hunter",Agent,8160370,Male,9494774,,,,
8188191,"Dryas (son of Aigyptos)",Dryas,,,,,"son of Aigyptos",Agent,8160370,Male,9494774,,,,
8188192,"Dymas (father of Hecabe)",Dymas,,,,,"father of Hecabe",Agent,8160370,Male,9494774,,,,
8188193,"Dymas (son of Aigimios)",Dymas,,,,,"son of Aigimios",Agent,8160370,Male,9494774,,,,
8188194,"Dryops (son of Priam)",Dryops,,,,,"son of Priam",Agent,8160370,Male,9494774,,,,
8188195,"Dynamene (Nereid)",Dynamene,,,,,Nereid,Agent,8160370,Female,9494773,,,,
8188196,"Dynastes (son of Heracles)",Dynastes,,,,,"son of Heracles",Agent,8160370,Male,9494774,,,,
8188197,"Ecbasos (son of Argos)",Ecbasos,,,,,"son of Argos",Agent,8160370,Male,9494774,,,,
8188198,"Echemmon (son of Priam)",Echemmon,,,,,"son of Priam",Agent,8160370,Male,9494774,,,,
8188199,"Echemos (husband of Timandra)",Echemos,,,,,"husband of Timandra",Agent,8160370,Male,9494774,,,,
8188200,"Echephron (son of Nestor)",Echephron,,,,,"son of Nestor",Agent,8160370,Male,9494774,,,,
8188201,"Echephron (son of Priam)",Echephron,,,,,"son of Priam",Agent,8160370,Male,9494774,,,,
8188202,"Echidna (monstrous serpent)",Echidna,,,,,"monstrous serpent",Agent,8160370,Female,9494773,,,,
8188203,"Echion (Argonaut, Calydonian boar hunter)",Echion,,,,,"Argonaut, Calydonian boar hunter",Agent,8160370,Male,9494774,,,,
8188204,"Echion (one of the Spartoi)",Echion,,,,,"one of the Spartoi",Agent,8160370,Male,9494774,,,,
8188205,"Echion (son of Portheus)",Echion,,,,,"son of Portheus",Agent,8160370,Male,9494774,,,,
8188206,"Echion (suitor of Penelope)",Echion,,,,,"suitor of Penelope",Agent,8160370,Male,9494774,,,,
8188207,"Eetion (father of Andromache)",Eetion,,,,,"father of Andromache",Agent,8160370,Male,9494774,,,,
8188208,"Eidomene (wife of Amythaon)",Eidomene,,,,,"wife of Amythaon",Agent,8160370,Female,9494773,,,,
8188209,"Eidyia (daughter of Oceanos)",Eidyia,,,,,"daughter of Oceanos",Agent,8160370,Female,9494773,,,,
8188210,"Eileithyia (daughter of Zeus and Hera)",Eileithyia,,,,,"daughter of Zeus and Hera",Agent,8160370,Female,9494773,,,,
8188211,"Eileithyiai (deities of childbirth)",Eileithyiai,,,,,"deities of childbirth","Collective (misc.)",8160371,,,,,,
8188212,"Eione (Nereid)",Eione,,,,,Nereid,Agent,8160370,Female,9494773,,,,
8188213,"Eirene Irene (one of the Horai)",Eirene,,,Irene,,"one of the Horai",Agent,8160370,Female,9494773,,,,
8188214,"Elacheia (daughter of Thespios)",Elacheia,,,,,"daughter of Thespios",Agent,8160370,Female,9494773,,,,
8188215,"Elais (daughter of Anios)",Elais,,,,,"daughter of Anios",Agent,8160370,Female,9494773,,,,
8188216,"Elare (mother of Tityos)",Elare,,,,,"mother of Tityos",Agent,8160370,Female,9494773,,,,
8188217,"Elatos (father of Polyphemos)",Elatos,,,,,"father of Polyphemos",Agent,8160370,Male,9494774,,,,
8188218,"Elatos (father of Ampycus)",Elatos,,,,,"father of Ampycus",Agent,8160370,Male,9494774,,,,
8188219,"Elatos (son of Arcas, father of Ischys)",Elatos,,,,,"son of Arcas, father of Ischys",Agent,8160370,Male,9494774,,,,
8188220,"Elatos (centaur)",Elatos,,,,,centaur,Agent,8160370,Male,9494774,,,,
8188221,"Elatos (suitor of Penelope)",Elatos,,,,,"suitor of Penelope",Agent,8160370,Male,9494774,,,,
8188222,"Electra (daughter of Atlas)",Electra,,,,,"daughter of Atlas",Agent,8160370,Female,9494773,,,,
8188223,"Electra (daughter of Agamemnon)",Electra,,,,,"daughter of Agamemnon",Agent,8160370,Female,9494773,,,,
8188224,"Electra (Danaid)",Electra,,,,,Danaid,Agent,8160370,Female,9494773,,,,
8188225,"Electra (Oceanid)",Electra,,,,,Oceanid,Agent,8160370,Female,9494773,,,,
8188226,"Electryon (son of Perseus)",Electryon,,,,,"son of Perseus",Agent,8160370,Male,9494774,,,,
8188227,"Elephantis (mother of some Danaids)",Elephantis,,,,,"mother of some Danaids",Agent,8160370,Female,9494773,,,,
8188228,"Elephenor (suitor of Helen)",Elephenor,,,,,"suitor of Helen",Agent,8160370,Male,9494774,,,,
8188229,"Eleusis (king of Eleusis)",Eleusis,,,,,"king of Eleusis",Agent,8160370,Male,9494774,,,,
8188230,"Eleuther (son of Apollo)",Eleuther,,,,,"son of Apollo",Agent,8160370,Male,9494774,,,,
8188231,"Elpenor (companion of Odysseus)",Elpenor,,,,,"companion of Odysseus",Agent,8160370,Male,9494774,,,,
8188233,"Emathion (son of Tithonos)",Emathion,,,,,"son of Tithonos",Agent,8160370,Male,9494774,,,,
8188234,"Enarete (daughter of Deimachos)",Enarete,,,,,"daughter of Deimachos",Agent,8160370,Female,9494773,,,,
8188235,"Enarophoros (son of Hippocoon)",Enarophoros,,,,,"son of Hippocoon",Agent,8160370,Male,9494774,,,,
8188236,"Encelados (giant)",Encelados,,,,,giant,Agent,8160370,Male,9494774,,,,
8188237,"Encelados (son of Aigyptos)",Encelados,,,,,"son of Aigyptos",Agent,8160370,Male,9494774,,,,
8188238,"Endeis (daughter of Sceiron)",Endeis,,,,,"daughter of Sceiron",Agent,8160370,Female,9494773,,,,
8188239,"Endios (husband of Benthesicyme)",Endios,,,,,"husband of Benthesicyme",Agent,8160370,Male,9494774,,,,
8188240,"Endymion (son of Aethlios, beloved of Selene)",Endymion,,,,,"son of Aethlios, beloved of Selene",Agent,8160370,Male,9494774,,,,
8188241,"Enipeus (river god)",Enipeus,,,,,"river god",Agent,8160370,Male,9494774,,,,
8188242,"Ennomos (son of Arsinoos)",Ennomos,,,,,"son of Arsinoos",Agent,8160370,Male,9494774,,,,
